mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,split14_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,split11_train_accuracy,split12_train_accuracy,split13_train_accuracy,split14_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,split11_test_precision_macro,split12_test_precision_macro,split13_test_precision_macro,split14_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,split11_train_precision_macro,split12_train_precision_macro,split13_train_precision_macro,split14_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.07545849482218424,0.012569882475236388,0.08043715159098307,0.003599825375255152,euclidean,20,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 20, 'model__weights': 'distance'}",0.6864608076009501,0.7161520190023754,0.7137767220902613,0.7090261282660333,0.7137767220902613,0.7348394768133175,0.7027348394768134,0.6884661117717004,0.7193816884661117,0.7288941736028538,0.7170035671819263,0.7288941736028538,0.7502972651605232,0.713436385255648,0.727705112960761,0.7167230128894926,0.016077144331001096,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6842843497120399,0.711982333206578,0.7098352687565057,0.7054767983897208,0.7095332823859833,0.7317405488776457,0.6990400445840054,0.682893279880717,0.7161868051989397,0.7245831814984539,0.7140994066362286,0.721853197810474,0.7477407469734675,0.7107086318920481,0.7259161769204004,0.7130582701815472,0.016247296695794458,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07406435012817383,0.011696188898574293,0.32559491793314616,0.0126988149856671,manhattan,5,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.6935866983372921,0.7494061757719715,0.7351543942992874,0.7399049881235155,0.7280285035629454,0.7312722948870393,0.7122473246135553,0.72294887039239,0.7336504161712247,0.7336504161712247,0.7193816884661117,0.7253269916765755,0.760998810939358,0.7110582639714625,0.7336504161712247,0.7286844169036786,0.01563309018814918,9,0.8171166581762608,0.8103243335031415,0.8169468500594328,0.8166921378841908,0.8144846323654271,0.8169623906953052,0.8167925969946515,0.8140758977841922,0.8142456914848459,0.814755072586807,0.8173868749469395,0.8169623906953052,0.8162832158926904,0.8149248662874607,0.8138212072332116,0.8154516544393241,0.0018500214279124224,0.6894904430975656,0.747307305377064,0.7309083165202492,0.7367163179291195,0.7234749972963975,0.7237960904476426,0.7060431290389441,0.7181976512062358,0.7302780234842938,0.7296155003880646,0.7147991702397514,0.7207656226198786,0.7607256477859962,0.7092787920378516,0.7299859974762306,0.7247588669963523,0.016449413952097997,9,0.8155464942194036,0.8082069419589495,0.8151925674146072,0.814911016432591,0.8127203640434606,0.8151320732939672,0.8149008493663269,0.8121200687922874,0.8121049854482505,0.8129134895602369,0.8156856052993842,0.8151728365334299,0.814423464918077,0.8131974774105384,0.8115716031306851,0.8135866558548132,0.0019767673000235493
0.06653175354003907,0.011339562134844976,0.30459295908610023,0.035351574597765265,manhattan,5,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7090261282660333,0.7553444180522565,0.7387173396674585,0.7399049881235155,0.7125890736342043,0.7348394768133175,0.7098692033293698,0.7300832342449465,0.7395957193816884,0.7443519619500595,0.72294887039239,0.7419738406658739,0.7526753864447087,0.7170035671819263,0.7479191438763377,0.7331228234682725,0.014915772606129708,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.707006804674081,0.7523418556666938,0.7350824646851916,0.7369527439552072,0.7073160919816416,0.7271939626372758,0.7052060697120391,0.7256973346392713,0.737111678700316,0.7409674712536142,0.7202952173513337,0.7355543109581835,0.7494957213007867,0.7124890067839288,0.7454349181608426,0.729209710164027,0.015207857652172465,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07375305493672689,0.02380356504520709,0.32114462852478026,0.03324213948824466,manhattan,8,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.7078384798099763,0.7363420427553444,0.7304038004750594,0.7363420427553444,0.7315914489311164,0.7395957193816884,0.7063020214030915,0.7146254458977408,0.7395957193816884,0.7265160523186682,0.7146254458977408,0.7538644470868014,0.7550535077288941,0.7158145065398336,0.7419738406658739,0.7300323014019241,0.014936953822576733,7,0.7935133299371709,0.7853625403294278,0.7909662081847513,0.7912209203599933,0.7931737137035151,0.791153748195942,0.7914084387469225,0.7904745733933272,0.786484421427965,0.7892860174887512,0.7890313269377706,0.7880125647338484,0.789370914339078,0.7887766363867901,0.7880974615841753,0.7897555210499619,0.0021948272207610708,0.7053972698591344,0.732436233488678,0.7267682739732765,0.7341408255736281,0.7274583028329017,0.7325534147495023,0.7007395393279056,0.7108009164882486,0.734619262668042,0.7199910289930508,0.7114165143775152,0.7493136690470406,0.7536852832651305,0.7154955113948933,0.7401705434795751,0.7263324393012349,0.015032205815132222,7,0.7915220546564665,0.782841840020782,0.788693964802769,0.7891418916616634,0.79068368012614,0.7891856381668486,0.789256268331645,0.788224394698019,0.783878372890678,0.7869072950778243,0.7866630710880701,0.7861456385558055,0.7869852536832324,0.7866112180339001,0.7858508571044476,0.7875060959265527,0.002285598368695903
0.06168481508890788,0.006734168132752067,0.302667506535848,0.02515952265237707,manhattan,8,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7090261282660333,0.7482185273159145,0.7387173396674585,0.7375296912114014,0.7315914489311164,0.7384066587395958,0.7205707491082045,0.727705112960761,0.7479191438763377,0.7526753864447087,0.7288941736028538,0.7491082045184304,0.7728894173602854,0.7241379310344828,0.760998810939358,0.739225914931796,0.015982350790500005,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7079900716683706,0.7453896431092273,0.7342218298617934,0.7352605534117603,0.7271738955407768,0.7310103452999577,0.7175832371534734,0.7235794119780793,0.7448212885170007,0.7469302005050447,0.7274831536889119,0.7440756414482494,0.7705604800849057,0.7205761826648667,0.7619535229431535,0.7359072971917048,0.016152377593037223,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07506049474080403,0.01480277475394388,0.3182563622792562,0.01259824932285095,manhattan,10,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.7030878859857482,0.7399049881235155,0.7315914489311164,0.7232779097387173,0.7387173396674585,0.7431629013079667,0.7170035671819263,0.7098692033293698,0.7384066587395958,0.7312722948870393,0.7158145065398336,0.7455410225921522,0.7419738406658739,0.7063020214030915,0.7479191438763377,0.7289229821979828,0.014645148480504567,8,0.7812022414671421,0.7777211750721684,0.7772117507216845,0.7775513669553404,0.7819663779928681,0.7786739111978945,0.7791832922998557,0.7819848883606418,0.7773155615926649,0.7780796332456066,0.7819848883606418,0.7769759741913576,0.7773155615926649,0.7777400458442991,0.7785041174972408,0.778894052426138,0.0018407156364574318,0.7005556127167546,0.7384688044409732,0.7283510910262319,0.7213269348982682,0.7335229804921957,0.73735355723509,0.7108787971923219,0.7054201303369945,0.7345294788138818,0.7250668737555062,0.7134378471436607,0.7402952329016967,0.7422613469063638,0.7038211723433314,0.7459339122531387,0.7254149181637607,0.014724753193826165,8,0.778611917762662,0.7751313400900577,0.7747008736220743,0.7748821331588044,0.77960937845765,0.7761102072201255,0.7766499767745015,0.7797401488491789,0.7746515086843969,0.7753455243732214,0.7797693916639483,0.7744669946208494,0.7747578586119793,0.7751264697226047,0.7760004715075058,0.7763702796746373,0.001949692847242472
0.06157849629720052,0.005264992686478997,0.2992441018422445,0.018975514434585804,manhattan,10,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7161520190023754,0.7458432304038005,0.7315914489311164,0.7304038004750594,0.7387173396674585,0.746730083234245,0.72294887039239,0.7170035671819263,0.7479191438763377,0.7419738406658739,0.7241379310344828,0.7455410225921522,0.7574316290130797,0.7217598097502973,0.7586206896551724,0.7364516283917178,0.013602758897248117,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7147659279611297,0.7452018327111546,0.7280410722495165,0.7283705114280402,0.7344153923117531,0.7398250025007306,0.7188565024263583,0.7127483436283363,0.745390357809046,0.7368479329073768,0.7238238778869649,0.7400430266066623,0.7560663026729981,0.7175916614054918,0.7571821800377275,0.7332779949695524,0.013763149259604252,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.062303415934244794,0.004803013370144806,0.3141915321350098,0.014928478272888582,manhattan,12,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.7030878859857482,0.7375296912114014,0.7292161520190024,0.7197149643705463,0.7304038004750594,0.7324613555291319,0.7098692033293698,0.7098692033293698,0.727705112960761,0.7288941736028538,0.7170035671819263,0.7491082045184304,0.7360285374554102,0.7063020214030915,0.727705112960761,0.7243265990888577,0.012556500778471464,11,0.7722873153336729,0.7704194260485652,0.7726269315673289,0.7733061640346408,0.7724571234505009,0.7708634009678241,0.7715425757704389,0.7718821631717463,0.7715425757704389,0.7719670600220732,0.7732405127769759,0.7711180915188046,0.7676373206554037,0.7716274726207658,0.769165463961287,0.7714455731780311,0.0014497419468134255,0.6986049388026191,0.7356989280140181,0.7270239253190987,0.7171757073966294,0.7271218662663569,0.7258644811539909,0.702073304099134,0.7046830844225728,0.7247350157677976,0.7220104842729838,0.714614662713912,0.7444331918909188,0.7350978355289712,0.7038870142085861,0.7242563120177249,0.7204853834583543,0.013056811546250768,12,0.7696229641350076,0.7678663127311403,0.7697779022657212,0.7705837947629112,0.7701637253222503,0.7684418604061748,0.7689555289565292,0.7694990150707294,0.7688894188957681,0.7692829127699305,0.7706774344510045,0.7685736910317209,0.7647702042967841,0.769042840727945,0.7663410661691946,0.7688325781328541,0.001512920299087721
0.06268858909606934,0.009657708093196158,0.30427996317545575,0.017148362308273695,manhattan,12,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7078384798099763,0.7446555819477435,0.7268408551068883,0.7315914489311164,0.7304038004750594,0.7443519619500595,0.7170035671819263,0.7205707491082045,0.7455410225921522,0.7431629013079667,0.7288941736028538,0.7479191438763377,0.7598097502972652,0.7205707491082045,0.7443519619500595,0.7342337431497209,0.01374563658033522,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7061403313575264,0.7433537827188329,0.7228889622025328,0.7296934553265938,0.7264154354392597,0.7399518660791436,0.7120654779968362,0.7162483193498231,0.7438696886449014,0.7375196431653006,0.7271270446934699,0.743307168076205,0.7586155519046471,0.7161814404621826,0.7436384610614093,0.7311344418985776,0.014216577655943875,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06795094807942709,0.01567791993100866,0.31605278650919594,0.012274121804425348,manhattan,15,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.7054631828978623,0.7280285035629454,0.7185273159144893,0.7232779097387173,0.7268408551068883,0.727705112960761,0.6967895362663495,0.7051129607609988,0.7288941736028538,0.7324613555291319,0.7170035671819263,0.7395957193816884,0.7479191438763377,0.7110582639714625,0.7241379310344828,0.7221877021191264,0.013133500869115673,14,0.7641365257259297,0.760910171506198,0.7615894039735099,0.7641365257259297,0.7642214297843437,0.7642414466423296,0.7655148993972324,0.7643263434926564,0.762798200186773,0.7599966041259869,0.7630528907377536,0.7618643348331777,0.7591476356227184,0.7633924781390611,0.7625435096357925,0.7627914933019594,0.0017313228697544147,0.703874534836741,0.7273839135770535,0.7160701402426898,0.7206222086974229,0.7219180751929551,0.7221390382316683,0.6884395397970496,0.7002714085037757,0.7260054857446363,0.7253571264802633,0.7152626331592682,0.7340320778394004,0.7480620128587161,0.7089699686714612,0.7218951646338406,0.7186868885644627,0.0138921815249855,13,0.7617687924183644,0.7580665214819667,0.7586725971149296,0.7618954110085051,0.7618934118660227,0.7615501167655496,0.762912155466835,0.761993019832409,0.7601312722320152,0.757177393245259,0.7603434139679347,0.7590830879524164,0.7560072856518436,0.760772057727665,0.759871686691589,0.7601425482282204,0.0019296753198164405
0.06184705098470052,0.004552308484660539,0.3019140879313151,0.011495060743255903,manhattan,15,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7185273159144893,0.7339667458432304,0.7339667458432304,0.7280285035629454,0.7339667458432304,0.7336504161712247,0.713436385255648,0.7158145065398336,0.7431629013079667,0.7431629013079667,0.7384066587395958,0.7407847800237812,0.7526753864447087,0.7253269916765755,0.7526753864447087,0.7338368247279425,0.011646154939591863,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7176723232554411,0.731362978836583,0.7308593576592987,0.7254255655747356,0.7300988063848318,0.7285838913233248,0.705962446265585,0.7101874944760438,0.7413985484962512,0.7353426821471466,0.7379115618724484,0.735032565383308,0.7493708199444992,0.7223038563434446,0.7520210859573861,0.7302355989280219,0.012417174570333383,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06773263613382975,0.01000100112550327,0.3191881815592448,0.012151086095200691,manhattan,20,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 20, 'model__weights': 'uniform'}",0.6983372921615202,0.7304038004750594,0.7149643705463183,0.7280285035629454,0.7339667458432304,0.727705112960761,0.6884661117717004,0.7086801426872771,0.7288941736028538,0.72294887039239,0.7110582639714625,0.7395957193816884,0.7312722948870393,0.7027348394768134,0.718192627824019,0.7190165913030052,0.014165568740932184,17,0.7514009169638308,0.7488537952114112,0.7502971642044489,0.7508065885549329,0.7503820682628629,0.7490449104338229,0.7509126411410136,0.7498938789370915,0.7492996009848034,0.7488751167331692,0.7514220222429748,0.7470922828763052,0.7470073860259784,0.7526954749978776,0.7485355293318617,0.7497679584601591,0.0015429156278344962,0.6954147847478066,0.7281247820273989,0.711603385040885,0.7257175278727003,0.7291365317480228,0.7216808012011503,0.6803622595719728,0.7023430738655588,0.7243630569170504,0.7168564675169585,0.7071965673226377,0.7347898907305475,0.7325488029639148,0.7000672646062981,0.7175600567752302,0.7151843501938756,0.014982937546970304,17,0.7482135771411346,0.745241019008155,0.7469921775544901,0.74749364627944,0.7471639799035282,0.7459569993835509,0.7476720186234729,0.7462686286755787,0.7456709950712571,0.7454973875245436,0.7484009198014075,0.7437000862892446,0.7431942117329845,0.7498149314702178,0.7452638763908619,0.746436296989991,0.001721306902245774
0.06368533770243327,0.0064630318797460964,0.2888496875762939,0.036929895404138484,manhattan,20,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 20, 'model__weights': 'distance'}",0.7078384798099763,0.7399049881235155,0.7280285035629454,0.7292161520190024,0.7410926365795725,0.7431629013079667,0.6956004756242569,0.7158145065398336,0.7491082045184304,0.7384066587395958,0.72294887039239,0.7491082045184304,0.7491082045184304,0.7098692033293698,0.7419738406658739,0.7307454553499727,0.016392384616440516,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7055090989101487,0.7386128473123739,0.7234210326858233,0.7280971649017489,0.7356533489050854,0.7391328756005086,0.6877232475540321,0.7115390284484747,0.7482102825447017,0.7334072612305157,0.7206080316044963,0.7447245895147426,0.7484058385256244,0.705386846459867,0.743391926331312,0.7275882280352969,0.0176055155786318,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
