mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,split11_train_accuracy,split12_train_accuracy,split13_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,split11_test_precision_macro,split12_test_precision_macro,split13_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,split11_train_precision_macro,split12_train_precision_macro,split13_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.07237536566598075,0.01245823137488649,0.09372426782335554,0.008039993064556135,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.6951219512195121,0.7283813747228381,0.7084257206208425,0.7128603104212861,0.7372505543237251,0.7039911308203991,0.7014428412874584,0.7225305216426193,0.7236403995560489,0.7147613762486127,0.7081021087680355,0.7347391786903441,0.7003329633740288,0.732519422863485,0.716007132468517,0.013359229967821611,19,0.808926437958696,0.8064516129032258,0.8067929680832907,0.8097798259088582,0.8050008533879501,0.8084144051885988,0.8071507807833432,0.8090280740677532,0.8059561396023551,0.8074067753221265,0.8103080467616691,0.8074067753221265,0.8089427425548255,0.8062121341411383,0.8076983979989969,0.0015081973432361738,0.6926744963630974,0.7248906583349802,0.7070542046191922,0.7105252501377785,0.7295135024764324,0.6984990108552965,0.7001777794583013,0.7174731268184026,0.7165578166374892,0.7100270181698223,0.7032946115483315,0.7327456224606016,0.7014936697366566,0.7287369809656743,0.712404553470147,0.012375230567256638,18,0.8070986093615762,0.8049569296934808,0.8050310013951708,0.8081303524390699,0.8033358239211265,0.8067119122559011,0.8052801397068293,0.8074042951167668,0.8042829307063962,0.8055636267487231,0.8086519670191537,0.8057135097697362,0.8072901708721778,0.8043779322994563,0.8059878000932547,0.0015216182629288672
0.09187795434679304,0.023953093063948848,0.10003646782466344,0.02915737580957757,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.70509977827051,0.7283813747228381,0.7095343680709535,0.7172949002217295,0.738359201773836,0.7084257206208425,0.7114317425083241,0.7314095449500555,0.732519422863485,0.7269700332963374,0.7125416204217536,0.7458379578246392,0.7058823529411765,0.7458379578246392,0.7228232840222228,0.01406004425099398,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7042972033440236,0.7235408996026267,0.7057839352583134,0.7129839463335649,0.7307524698545932,0.7040144414499718,0.7065882782653343,0.7279473874599411,0.7252712035065759,0.7230934018682955,0.7060355215605993,0.7413530954744803,0.7027863005065548,0.7413660552052692,0.718272438549296,0.013426997077787757,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08137944766453334,0.021889604455449328,0.1149773257119315,0.01955939447902709,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.6818181818181818,0.7172949002217295,0.7084257206208425,0.7106430155210643,0.7372505543237251,0.6940133037694013,0.7125416204217536,0.7114317425083241,0.7114317425083241,0.7158712541620422,0.7036625971143174,0.7425083240843507,0.6914539400665927,0.7158712541620422,0.7110155822359066,0.015479162820783657,20,0.7817887011435398,0.7791431984980373,0.7792285372930534,0.7801672640382318,0.7798259088581669,0.7831541218637993,0.7819779844696646,0.7800153596723269,0.7799300281593993,0.7801860226981825,0.7818926529567369,0.7793327075689052,0.7813806638791706,0.7774554142844953,0.7803913260988364,0.0014330861303598922,0.6779833123305267,0.7124443303720102,0.7062240882433061,0.7079003163927052,0.7300047930490423,0.6907452593130817,0.7077194930963431,0.7042579724882597,0.7042784747299603,0.7118425308538124,0.7001241784775081,0.7422196008636686,0.6930779319770258,0.7119422903819432,0.707197469469228,0.015143959883720541,20,0.7798724626666115,0.7775650976185987,0.7770884762206288,0.7777511046724249,0.7779502832768753,0.7809287057870226,0.7801452063061548,0.7781484335763775,0.7779101652819268,0.7779585532259407,0.7798233600563362,0.7773227679727889,0.7790269015747117,0.7754251665608549,0.7783511917712324,0.0014026118756507403
0.07880360739571708,0.0167477131470353,0.09397445406232562,0.021702081005987698,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.6917960088691796,0.7372505543237251,0.7184035476718403,0.7217294900221729,0.738359201773836,0.7084257206208425,0.7180910099889012,0.7247502774694784,0.7280799112097669,0.732519422863485,0.7081021087680355,0.755826859045505,0.7069922308546059,0.7369589345172031,0.7233775198570412,0.015901628980602076,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6882355276551239,0.7329959399358207,0.715089602711388,0.7195453878763715,0.7306834119409648,0.7053401030998341,0.7128502510548067,0.7209983657185004,0.722929162841253,0.7284335904627153,0.702939541204251,0.7515419338778502,0.7050177863479087,0.7324333854254029,0.7192167135822993,0.01539824411695026,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08990088530949183,0.028660412917309426,0.1152374233518328,0.03211164497767441,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6796008869179601,0.7128603104212861,0.7062084257206208,0.7084257206208425,0.7361419068736141,0.6940133037694013,0.6936736958934517,0.7169811320754716,0.7069922308546059,0.730299667036626,0.6914539400665927,0.7336293007769146,0.704772475027747,0.7203107658157603,0.7096688401336354,0.01616638251232276,22,0.7740228707970643,0.7724867724867724,0.7703533026113671,0.7702679638163509,0.7700119474313023,0.7707799965864482,0.771055550814916,0.7729328440993258,0.7690929260175783,0.7705435617373496,0.7722501919959041,0.7694342520692892,0.7702022356856387,0.7677276218107347,0.7707972884257173,0.0015967683701058476,0.6755265974581294,0.7078980956010791,0.7028696669075956,0.7057684667681857,0.7268968453038047,0.6900075444626879,0.6854809769469546,0.7113876158752717,0.6987216000097519,0.7268001150590122,0.6871569999732486,0.7315013610751052,0.705590339521021,0.7146540641754412,0.7050185920812349,0.016118205011120663,22,0.7711929407479428,0.7699817861730066,0.7674805620070512,0.7673845930338782,0.7672517762560627,0.7678113491255093,0.7681494211138975,0.7700259749540906,0.7661645357166523,0.7674081624595549,0.7693114161091902,0.7664483497847859,0.7669784963940206,0.7649780399167814,0.767897671699459,0.0016337722861751848
0.08112256867544991,0.02409075409022589,0.10037151404789516,0.027994486714416955,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.697339246119734,0.7328159645232816,0.7172949002217295,0.7195121951219512,0.7450110864745011,0.7106430155210643,0.7036625971143174,0.7192008879023307,0.7247502774694784,0.7347391786903441,0.704772475027747,0.7502774694783574,0.709211986681465,0.7391786903440621,0.7220292836207403,0.015768263460064876,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6929872192456745,0.729219336113936,0.7150631671865726,0.7168122020504825,0.7365579450367894,0.7080469810160082,0.6984495295355921,0.7156090731747016,0.7198105655228317,0.7290378890144066,0.7004736241721193,0.7465206121954368,0.7055983153846707,0.7350706371351203,0.7178040783417388,0.015314160679888406,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07816943100520543,0.013467018156538842,0.10451459884643555,0.007177712038541856,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.6807095343680709,0.7128603104212861,0.7095343680709535,0.7095343680709535,0.7272727272727273,0.697339246119734,0.709211986681465,0.7114317425083241,0.7025527192008879,0.7203107658157603,0.7069922308546059,0.7247502774694784,0.6859045504994451,0.7236403995560489,0.7087175162078386,0.013255389069981442,23,0.7633555214200376,0.7621607782898105,0.7593445980542755,0.761563406724697,0.7605393411845025,0.7625874722648917,0.7621810734704326,0.7594504650567454,0.7603891116989504,0.7587678129533236,0.7608157692635891,0.7585971499274682,0.7632050516255653,0.7574878402594079,0.760746099442407,0.0017716096944088869,0.6770533387162894,0.7075988016936205,0.7080407086061256,0.7048384646902733,0.7191797420112209,0.6923681134637604,0.7017985644755484,0.7058232749492305,0.6937119053631632,0.715698406430169,0.7015592633313711,0.7205778058699563,0.684689911828582,0.7186991854784196,0.7036883919219807,0.012652116961994538,23,0.760331657949424,0.7592318882133624,0.7562918041161929,0.7584477028045099,0.7574549858363804,0.7594310016295222,0.7590204864573683,0.7564605950617019,0.7572753367375921,0.755385788096496,0.7575841736367889,0.7555810604954758,0.7595005186306735,0.7542829732054919,0.7575914266336415,0.0017513816758173496
0.0710655791418893,0.012430385048778178,0.08218998568398612,0.0035242988282020746,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.6984478935698448,0.7250554323725056,0.7106430155210643,0.7106430155210643,0.7405764966740577,0.7084257206208425,0.7136514983351832,0.7158712541620422,0.7258601553829079,0.730299667036626,0.709211986681465,0.7436182019977803,0.7103218645948945,0.7447280799112098,0.720525305884392,0.014131447786472082,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6950289323231272,0.7199839102253831,0.7074891284385277,0.7070595657860798,0.734211309509125,0.7038361849841738,0.7078556622249869,0.7122672324665654,0.7212550194365338,0.7242900466095172,0.7046224213076313,0.739969787934248,0.7067383492209303,0.7412057025042701,0.7161295180693644,0.013859263012082419,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0767143964767456,0.020753776910547493,0.11846177918570382,0.018382029477989625,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.6829268292682927,0.7172949002217295,0.7084257206208425,0.7062084257206208,0.7283813747228381,0.6951219512195121,0.704772475027747,0.7147613762486127,0.709211986681465,0.709211986681465,0.7214206437291898,0.7247502774694784,0.6914539400665927,0.7269700332963374,0.7100651372124803,0.01307499853827717,21,0.7537122375832054,0.7497866530124595,0.7528588496330432,0.7524321556579621,0.750810718552654,0.752773510838027,0.7522826179708166,0.7528799385613107,0.7505759877122622,0.7533919276388771,0.751855960406178,0.7486986944278522,0.754330574281082,0.7482720368632135,0.7517615616527816,0.0017936376251680899,0.6792565005112559,0.7115331507471677,0.7074684737984762,0.7019047986162015,0.7196430291037567,0.691585250050447,0.6993249147139985,0.7086953079854317,0.7004673219946946,0.7014441095285423,0.717374079390369,0.7203044687913197,0.690065255283212,0.7218140805903346,0.7050629100789434,0.012211112625728469,21,0.7502244322774613,0.7462670063971407,0.7494446499083594,0.7493199267951092,0.7476937498691759,0.7494105984173469,0.7485933815371835,0.7495073002953081,0.7469351561817836,0.7497709249906005,0.748240127951335,0.7451631017124025,0.7508487706846873,0.7446840835562443,0.7482930864695813,0.0018278039230333071
0.06785012994493757,0.004600578168536278,0.08815314088548933,0.00817167982766408,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.6940133037694013,0.7317073170731707,0.7217294900221729,0.7161862527716186,0.7328159645232816,0.7073170731707317,0.7125416204217536,0.7225305216426193,0.7225305216426193,0.7203107658157603,0.7214206437291898,0.7458379578246392,0.7036625971143174,0.7413984461709212,0.721000176835157,0.01363807613975712,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6922756358553076,0.7282699019580099,0.7196481162570195,0.7131887783547743,0.7253728977671103,0.7030956021145753,0.7069886092626814,0.7167038441673178,0.7156615403524967,0.7133555890385955,0.7178667893108885,0.7434908328746211,0.7016038037640182,0.7374584426514842,0.7167843131234929,0.01335269997104053,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08028159822736468,0.01392358085245047,0.10728139536721366,0.006953710036917775,euclidean,20,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 20, 'model__weights': 'uniform'}",0.664079822616408,0.7128603104212861,0.7017738359201774,0.7039911308203991,0.7095343680709535,0.6862527716186253,0.7036625971143174,0.7003329633740288,0.7036625971143174,0.7014428412874584,0.7025527192008879,0.7314095449500555,0.6947835738068813,0.7036625971143174,0.7014286909592938,0.014113722044143018,24,0.7409967571257894,0.7361324458098651,0.7386072708653354,0.7369004949650111,0.7368151561699949,0.7407407407407407,0.7358136359757659,0.7388002389282362,0.7380322553118867,0.7395682225445858,0.7363256250533322,0.7335096851267173,0.7396535540575134,0.7364109565662599,0.7377362170886453,0.002037050869705568,0.6599349729504969,0.7074114951654688,0.7002016061499255,0.6988645767138574,0.7006343750044547,0.6834204812225012,0.698674914938332,0.6953437287921707,0.6933554010379532,0.6950075719301028,0.6968008588045693,0.7286048964858957,0.6955489675894105,0.6982829681848891,0.6965776296407162,0.013929718833513117,24,0.7370230261843637,0.7323170335826958,0.7348314640289278,0.733179478777612,0.732762622171982,0.7368097224197804,0.7318992215441016,0.7352380752643322,0.73408840059815,0.7359579369951107,0.7326060328674717,0.7291929587887825,0.7356561603714343,0.732803497008401,0.7338832593287962,0.002097331739330385
