mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.07742316072637384,0.01093957195413078,0.11884476921775124,0.007168375269053807,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.6951219512195121,0.7081881533101045,0.7116724738675958,0.7271142109851787,0.7009590235396687,0.7192676547515258,0.7192676547515258,0.7166521360069747,0.7166521360069747,0.7044463818657367,0.7367044463818657,0.714186020244242,0.011336073364124613,18,0.8091004184100419,0.8069211994421199,0.806136680613668,0.8051948051948052,0.8078968011853918,0.8069380284145384,0.8058920944826985,0.8084197681513118,0.8081582846683518,0.8072866730584851,0.8049333217118452,0.806988915939387,0.001285121759236317,0.692051492437191,0.7046917161165815,0.709816028213856,0.7205441382477565,0.6949473877430045,0.7152571909866252,0.7131699566451112,0.7132211554478943,0.7119731250765541,0.7020346665577604,0.7356458679315466,0.7103047932185347,0.011521567019034616,18,0.8072915232461736,0.8053773943925517,0.804491478786658,0.8034449841392703,0.8062349378344841,0.8049683959160265,0.8042548073062158,0.8065815978934128,0.8064838576853521,0.8056199226423973,0.8031142378037265,0.8052602852405698,0.0012809801676873034
0.08775730566544966,0.02307836309556218,0.11844429102810947,0.0281579433034798,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7038327526132404,0.710801393728223,0.7334494773519163,0.7271142109851787,0.7053182214472538,0.7288578901482128,0.7271142109851787,0.7262423714036618,0.7201394943330427,0.7166521360069747,0.7471665213600698,0.7224262436693594,0.01223105219379045,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7015120883032997,0.7050172353462804,0.7289427591946446,0.7206781943631219,0.7002249437608724,0.7236443639643712,0.7210463419534184,0.7237761330954747,0.7141227335239753,0.7118558459360986,0.7438584984123834,0.7176981034412674,0.012351734156816365,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10168693282387474,0.02832042521762547,0.13642803105441006,0.026604815090464418,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.686411149825784,0.7012195121951219,0.7160278745644599,0.7297297297297297,0.6913687881429816,0.7053182214472538,0.7114210985178727,0.7157802964254577,0.7227550130775937,0.6965998256320837,0.7131647776809067,0.7081632988399313,0.012716358276045734,22,0.7806834030683403,0.7797245467224547,0.7784170153417015,0.7804410354745925,0.7820099363723525,0.7803538743136058,0.7797437461866992,0.7798309073476859,0.7814869694064325,0.7801795519916326,0.7754728492983527,0.7798494395930772,0.001651215920690215,0.6821214971345625,0.6974678315501696,0.713104145617634,0.7241813371739463,0.6875995998419923,0.6976066693031446,0.7045458447683363,0.7118592939900016,0.7187097206713177,0.6958071246182189,0.7122150047185143,0.7041107335807125,0.012556326589738669,22,0.7787611938205468,0.7779200199133626,0.7761298985289615,0.778579937562364,0.7801062955030551,0.7783247823856936,0.7776480853223159,0.7777825627529734,0.7793668377153065,0.7779569548856687,0.7734228648249369,0.7778181302922895,0.0016946152503034427
0.08725209669633345,0.010023639921213042,0.12818082896145908,0.03896892842175028,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.6933797909407665,0.7229965156794426,0.7264808362369338,0.7306015693112468,0.7044463818657367,0.7166521360069747,0.7244986922406277,0.7288578901482128,0.7332170880557978,0.7140366172624237,0.7367044463818657,0.7210792694663662,0.012432770691656197,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6889214677173436,0.718135624254861,0.7228125146731406,0.7243817574359491,0.7000093460003295,0.7104395190439956,0.7202983114291881,0.7250535407721955,0.7293350757157445,0.7081453280147537,0.7341392594926687,0.7165156131409246,0.012817468499682225,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0813636996529319,0.011601798848573586,0.12121826952153986,0.007778536765637704,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6846689895470384,0.6898954703832753,0.7125435540069687,0.7244986922406277,0.6922406277244987,0.7018308631211857,0.7079337401918047,0.7218831734960767,0.7096774193548387,0.6957279860505667,0.7218831734960767,0.7057076081466325,0.013254421680679685,23,0.774581589958159,0.7701359832635983,0.7699616457461645,0.7694587291902728,0.7707661466050728,0.7702431796391528,0.7683256340974461,0.7698945349952061,0.7698073738342195,0.7701560184781662,0.7659722827508062,0.7699366471416603,0.0019307193088360095,0.6812094913413034,0.6849025678142227,0.709616775331741,0.7176932737423315,0.6864610863431039,0.6963506678571866,0.7002959751299285,0.717729641398307,0.7042480905650398,0.6933168178159771,0.7176045533421948,0.700857176425576,0.013010998150194875,23,0.7718873562829588,0.7675071443700675,0.7669893973803344,0.7666630366886176,0.7678885155483322,0.7674507289102482,0.7653025281214315,0.7668566555444237,0.7668538796551827,0.767210582659385,0.7631565318700613,0.7670696688210039,0.0019756755039434313
0.08885275233875621,0.023980092300268468,0.1202921217138117,0.039477112582913726,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.6986062717770035,0.7099303135888502,0.7282229965156795,0.7349607672188317,0.7061900610287707,0.7149084568439407,0.7192676547515258,0.7306015693112468,0.7271142109851787,0.7201394943330427,0.7384481255448997,0.7207627201726337,0.011926539834817241,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6939757599423931,0.7039427493266774,0.7253749956576436,0.7286192458736928,0.7015880962084068,0.7088319305376819,0.7151685036491828,0.7256002572456051,0.7228331290504298,0.7152752775412647,0.7346323574865464,0.7159856638654113,0.012150197267347831,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09009109843860973,0.028499176775951002,0.13353235071355646,0.01999357488425005,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.6925087108013938,0.6977351916376306,0.7160278745644599,0.7210113339145597,0.7053182214472538,0.6948561464690497,0.7131647776809067,0.7201394943330427,0.7201394943330427,0.6948561464690497,0.7262423714036618,0.7092727057321864,0.01193991673893672,20,0.7641213389121339,0.7607217573221757,0.7613319386331938,0.7591737121938464,0.7617885470234463,0.7606554519306197,0.760045323803713,0.7602196461256864,0.7576048112960865,0.7617013858624597,0.7569946831691798,0.7603962360247766,0.001896852312538888,0.6885595319466559,0.692150634045044,0.713472882682044,0.7133263644852523,0.700418392056956,0.687900352890644,0.7052832180644009,0.7155236063299333,0.7147370186654214,0.6916010483085684,0.7229926765534646,0.7041787023662168,0.012027948013809298,20,0.7611762860054666,0.7578828347089229,0.7584577529947751,0.7560185124179111,0.7585395423538378,0.7575252342627949,0.7569390380740589,0.7571406899280249,0.7544455233761249,0.7581600064417329,0.7538550594027722,0.7572854981787657,0.0019269314067297436
0.07635283470153809,0.01459249403218099,0.10503762418573553,0.009802978199409727,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7029616724738676,0.705574912891986,0.7203832752613241,0.7288578901482128,0.7105492589363557,0.7009590235396687,0.7279860505666957,0.7271142109851787,0.7253705318221447,0.7140366172624237,0.7410636442894507,0.7186233716524826,0.012174849815674895,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.699205561394292,0.6994646369478914,0.7165074864552571,0.7229086332965694,0.7064816019530414,0.6946261631519677,0.7235578226352991,0.7218069591199522,0.7202765132343346,0.7082310526082356,0.7380599883416723,0.7137387653762285,0.012615948090563557,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07214615561745384,0.010410072527509572,0.13212314519015225,0.019232715101361646,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.6942508710801394,0.7081881533101045,0.710801393728223,0.7218831734960767,0.7009590235396687,0.7000871839581517,0.7096774193548387,0.7088055797733217,0.7227550130775937,0.6992153443766347,0.7244986922406277,0.7091928952668527,0.00980143497496688,21,0.7518305439330544,0.7510460251046025,0.7512203626220363,0.7514163688660332,0.7532467532467533,0.75124204654406,0.7530724309247799,0.7529852697637932,0.75124204654406,0.7493245010023534,0.7470583108167,0.7512440599425659,0.0017057170215647951,0.6903053044908091,0.7030653917629891,0.7086555043031993,0.7143905645087244,0.6973401392687413,0.6948923433428991,0.7007158399399614,0.7030685626742056,0.7175983817821612,0.6960358856996922,0.7196096009667691,0.7041525017036502,0.009287132289875872,21,0.7484520309716961,0.7475485264037821,0.7477945711456057,0.7484525249076218,0.7500308401434561,0.7480312889610357,0.7493319551619476,0.7496528324939086,0.747660997739238,0.7455820392966205,0.7436755595033686,0.7478375606116618,0.0017492434912498448
0.08813342181119052,0.02012380997081616,0.0984597856348211,0.009435373665893617,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.6994773519163763,0.7177700348432056,0.7177700348432056,0.7236268526591108,0.7044463818657367,0.7079337401918047,0.7262423714036618,0.7192676547515258,0.7279860505666957,0.7166521360069747,0.7384481255448997,0.7181473395084724,0.010655150270388786,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6976150572237069,0.713626721900132,0.7140364198636007,0.7171459340840232,0.7004587844943915,0.7021534570432525,0.720043161956592,0.7141197204464114,0.7227810984496073,0.7109471123554034,0.7341883872074776,0.7133741686385998,0.010128419189108213,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07443254644220526,0.011678907632477385,0.13373084501786667,0.019986412865580887,euclidean,20,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 20, 'model__weights': 'uniform'}",0.6733449477351916,0.6925087108013938,0.695993031358885,0.7122929380993898,0.6974716652136007,0.6939843068875327,0.7053182214472538,0.6957279860505667,0.7166521360069747,0.6913687881429816,0.7079337401918047,0.6984178610850523,0.011322137844238363,24,0.7376220362622036,0.7356171548117155,0.7374476987447699,0.7358145210494204,0.7387780005229669,0.7365118103373137,0.7375577442691537,0.7387780005229669,0.7352915540835004,0.7365118103373137,0.7357273598884337,0.7368779718936144,0.0011828276587813218,0.6690787817035665,0.6875945057207445,0.6917353045788254,0.7052914464132132,0.6950324367859849,0.6896751209398412,0.6956896586689101,0.6896947843578941,0.71135206483798,0.6874963769132153,0.703614139490476,0.6932958745827865,0.010729113516890957,24,0.7335584572901882,0.7316566598226595,0.7334611391846819,0.7319881280659909,0.7347898692445379,0.7328680703642393,0.7336692381951851,0.7352946270726056,0.731205848981792,0.732274229907137,0.7320529406138994,0.7329835644311743,0.0012404864228693015
0.07515909455039284,0.011301693185726094,0.10098132220181552,0.006966075681949097,euclidean,20,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 20, 'model__weights': 'distance'}",0.6925087108013938,0.7038327526132404,0.7125435540069687,0.7271142109851787,0.7035745422842197,0.6974716652136007,0.7210113339145597,0.7105492589363557,0.7306015693112468,0.7114210985178727,0.7306015693112468,0.712839115081444,0.01252396023770594,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6884997770852122,0.6984576946899378,0.7081865686711818,0.7223764260413249,0.7006727497539924,0.6920921701410947,0.7147940198524863,0.7054503609002002,0.726361892344075,0.7064537307197016,0.7270181971107789,0.7082148715736349,0.012570426054082163,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07705309174277565,0.018916322620423368,0.4152365814555775,0.031744637144376524,manhattan,5,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.7064459930313589,0.7325783972125436,0.7378048780487805,0.7367044463818657,0.7096774193548387,0.7244986922406277,0.7297297297297297,0.7236268526591108,0.7340889276373147,0.7175239755884917,0.7384481255448997,0.7264661306754147,0.010692553085823207,7,0.8157252440725244,0.8118898186889819,0.8170327754532776,0.8099886690490717,0.8180946570208315,0.811470408785845,0.8141724047764316,0.8166129172840583,0.8164385949620849,0.8167000784450449,0.8131264708445917,0.8146592763075222,0.0025576812586591857,0.7025689473420286,0.7290018943062654,0.7339387247570174,0.7309527096569784,0.7028695605798576,0.7200232636535119,0.7230077306779312,0.7191471675571256,0.7296822542541018,0.7142985847601855,0.7366083041693089,0.7220090128831192,0.01111936209594306,8,0.8139659209904145,0.8099888899643413,0.8152631212057321,0.8080899339801386,0.8163341348466238,0.8096462110979165,0.8121896426052932,0.8147555644743342,0.8146643514500714,0.8148102267571781,0.8109449991366502,0.8127866360462449,0.0026129492756697555
0.06640891595320268,0.011355492788761919,0.3659555912017822,0.04281145563773449,manhattan,5,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7125435540069687,0.735191637630662,0.7412891986062717,0.7288578901482128,0.7061900610287707,0.7349607672188317,0.7367044463818657,0.7279860505666957,0.7428073234524848,0.7227550130775937,0.7541412380122058,0.7312206527391422,0.01308672417160539,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7083836288136267,0.7310626624152332,0.7371019902167293,0.722035599126434,0.7003424087937328,0.7306159790702763,0.7311544378692324,0.7248393004024294,0.7391211201016744,0.7175576789100123,0.751862617796877,0.7267343112287507,0.01378026481729678,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.056981801986694336,0.0024291613254107856,0.4146283756602894,0.015747224415560528,manhattan,8,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.7134146341463414,0.7343205574912892,0.7290940766550522,0.7428073234524848,0.7105492589363557,0.7166521360069747,0.7227550130775937,0.7262423714036618,0.7393199651264167,0.7096774193548387,0.7462946817785527,0.7264661306754147,0.012467088855350078,7,0.7926255230125523,0.7891387726638772,0.790010460251046,0.7933408873006188,0.7942124989104855,0.7905517301490456,0.788372701124379,0.7872396060315523,0.788111217641419,0.7894186350562189,0.7872396060315523,0.7900237852884314,0.0023087420113293007,0.7094773457747348,0.7295525467452045,0.7263182861385686,0.7361698120108359,0.7042368668285593,0.7117332486687251,0.7156145469494962,0.7230004397020784,0.7350473147205883,0.7081195664521154,0.7449451508874523,0.7222013749889417,0.012738387608109006,7,0.7906757298963584,0.7867771725103024,0.78769458150107,0.7913188024979304,0.7923067978037571,0.7881787230479091,0.7860426938422981,0.7847198581907914,0.7865783252955378,0.7871302976014569,0.7851863568202085,0.7878735762734199,0.0024017363337772053
0.06339452483437279,0.00513719684015202,0.39075409282337537,0.020310188451428457,manhattan,8,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7203832752613241,0.735191637630662,0.7369337979094077,0.7428073234524848,0.7175239755884917,0.7340889276373147,0.7358326068003488,0.7428073234524848,0.7471665213600698,0.7236268526591108,0.7611159546643418,0.7361343814923674,0.012028485251765458,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7162568216329955,0.7305825597320937,0.7331312874818628,0.7365215634880897,0.7120080863286934,0.7280453030055298,0.730310152395495,0.7407382085612886,0.7431276125998988,0.7200199555654925,0.7603037651700296,0.7319132105419517,0.01291396269446367,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06047617305408825,0.004369969725387994,0.412112604488026,0.018207549652441177,manhattan,10,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.705574912891986,0.7299651567944251,0.7238675958188153,0.7384481255448997,0.7114210985178727,0.7218831734960767,0.7244986922406277,0.7253705318221447,0.7428073234524848,0.7044463818657367,0.7515257192676548,0.7254371556102476,0.01420523143576303,9,0.7819037656903766,0.7764993026499303,0.7789400278940027,0.7808768412795258,0.7813126470844591,0.7793951015427526,0.7790464568988059,0.7785234899328859,0.7775647171620326,0.7799180685086725,0.7773032336790726,0.7792076047565925,0.0016307538577990121,0.7016378026636784,0.7268341779668059,0.7223231359256308,0.7317050364435066,0.7048186573176974,0.7170023274268998,0.7167674926620922,0.7231992366624159,0.7386062331858051,0.7028957324784458,0.7500843724323056,0.7214431095604803,0.014483010962056798,9,0.7795230080440609,0.773773167510171,0.7762237537243821,0.7787214015142349,0.7787350126260738,0.776990612728844,0.7764057681598573,0.7758342386884082,0.7751587377048781,0.7770973466388817,0.7750552926192557,0.7766834854508226,0.0016826894262238568
0.07032708688215776,0.012213283994373533,0.40293554826216266,0.019809494742981625,manhattan,10,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7195121951219512,0.7395470383275261,0.7378048780487805,0.7428073234524848,0.7131647776809067,0.7297297297297297,0.7384481255448997,0.7323452484742807,0.7480383609415867,0.7166521360069747,0.7628596338273758,0.7346281315596815,0.013928846047532665,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7167529961792509,0.7363026290653437,0.7348728037277732,0.7365406087151258,0.7072144095731749,0.7247456142614256,0.7323586359244451,0.7303513862711751,0.7441532135416674,0.7131190665735997,0.7613759801304906,0.7307079403603157,0.014455030200844458,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06070113182067871,0.0057813819413504875,0.4070712653073398,0.010275483414492314,manhattan,12,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.705574912891986,0.7273519163763066,0.7186411149825784,0.7367044463818657,0.7053182214472538,0.7183958151700087,0.7175239755884917,0.7218831734960767,0.7454228421970357,0.7079337401918047,0.7393199651264167,0.7221881930772568,0.013084795079091077,12,0.7732740585774058,0.7705718270571827,0.7737099023709902,0.7720735640198727,0.7717249193759261,0.7691972457073128,0.7732066591126994,0.7707661466050728,0.7705918242830995,0.7695458903512595,0.7689357622243528,0.7712361636077429,0.0016090330855365058,0.7012015014398569,0.7247851317133419,0.7160765754145261,0.7311585486076033,0.6977977857282653,0.71491349428253,0.7092392871988584,0.7178680826938791,0.742276476678727,0.7051849350666135,0.738454234344681,0.7180869139244439,0.0140497939722711,11,0.7707526398208999,0.7678813219392131,0.7710235815405954,0.7700018480324295,0.7691760140513144,0.7667244231315694,0.770705960316998,0.7680014796101162,0.7678915160242717,0.7667530436261876,0.7661926598103387,0.7686458625367213,0.0016873191517496084
0.07144113020463423,0.02107180542098988,0.3953497626564719,0.019267772385243003,manhattan,12,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7160278745644599,0.7395470383275261,0.7325783972125436,0.7393199651264167,0.7088055797733217,0.7314734088927637,0.7349607672188317,0.7323452484742807,0.7489102005231038,0.7236268526591108,0.7593722755013078,0.7333606916612424,0.013477477584976113,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7131345406407151,0.7358807041323997,0.7300996801802125,0.7341316506521874,0.7036991150578578,0.7275479116935208,0.7281158137013038,0.7299324286651725,0.7460291753634544,0.7187922308562277,0.7585502033412739,0.7296284958440297,0.014249578550585083,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.060971065001054245,0.005113685084936218,0.41215101155367767,0.009370906457405985,manhattan,15,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.7064459930313589,0.7186411149825784,0.7273519163763066,0.7410636442894507,0.7035745422842197,0.7140366172624237,0.7244986922406277,0.7201394943330427,0.7471665213600698,0.7105492589363557,0.7340889276373147,0.7225051566121589,0.013367875703983215,10,0.7615062761506276,0.7595013947001394,0.7639470013947002,0.762660158633313,0.7657979604288329,0.763444609082193,0.7640547372090997,0.7610912577355531,0.759260873354833,0.7617013858624597,0.7617013858624597,0.7622424582194737,0.001890336227222922,0.7027547687222189,0.7157582322512834,0.7238894190291367,0.7360685552487478,0.6957187786415522,0.7100713230988517,0.7153713140676637,0.7175544898546377,0.7428278609745512,0.7075356120792848,0.7318098667071596,0.718123656425008,0.013755977444032154,10,0.759052937087907,0.7567565479465926,0.7616516908105628,0.7603441213363072,0.763225799477736,0.7609389221344157,0.7614363062543612,0.7585717477216923,0.756140836633035,0.7586302092150925,0.7589254458690216,0.7596067785897023,0.0020422120381617987
0.07054214044050737,0.011953361332659843,0.4075050787492232,0.019825221471090868,manhattan,15,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7142857142857143,0.7325783972125436,0.7317073170731707,0.7436791630340017,0.7061900610287707,0.7279860505666957,0.7358326068003488,0.7375762859633828,0.7428073234524848,0.7227550130775937,0.7619877942458587,0.7324896115218695,0.014389284103819332,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.710681101041582,0.7283921191987126,0.7284243136054654,0.7407948653739213,0.6983568367351694,0.7240427938764877,0.7286996175663157,0.7355649510914145,0.7382200311990269,0.718236829054991,0.7609571008663973,0.7283973236008621,0.015667812153993294,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06079069050875577,0.0037450238278602353,0.432958494533192,0.03775334641495143,manhattan,20,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 20, 'model__weights': 'uniform'}",0.6942508710801394,0.7160278745644599,0.730836236933798,0.7445510026155188,0.7088055797733217,0.7096774193548387,0.7201394943330427,0.7149084568439407,0.7393199651264167,0.6965998256320837,0.7323452484742807,0.7188601795210765,0.015712555609352207,15,0.7500871687587168,0.7481694560669456,0.7495641562064156,0.7496731456463,0.7494988233243267,0.7502832737732067,0.7487143728754467,0.75150353002702,0.7454022487579535,0.74915017868038,0.7456637322409134,0.7488827351234204,0.0017795246247072495,0.6891803138684872,0.7133067941318079,0.7273317572523724,0.7392479213118867,0.7022865145616545,0.704010073939899,0.7121300504990906,0.7105056488471099,0.73605038117951,0.6924252490790943,0.7312331112436808,0.7143370741740539,0.016325723435389593,15,0.7468355263809955,0.7446980851273023,0.746373179023689,0.7468305499009285,0.7459928418840237,0.7468642995659821,0.7451088262794607,0.7483992451216249,0.7417372538923905,0.7455588825527174,0.7424502528035539,0.7455317220484244,0.0018847223721910043
0.06498809294267134,0.006144409300551603,0.3851367777044123,0.011964857457237287,manhattan,20,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 20, 'model__weights': 'distance'}",0.7090592334494773,0.7238675958188153,0.7282229965156795,0.7585004359197908,0.7070619006102877,0.7166521360069747,0.7358326068003488,0.7306015693112468,0.7523975588491717,0.7079337401918047,0.7523975588491717,0.7293206665747971,0.01787685759471023,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7059990496507303,0.7214752761026304,0.724614540305541,0.7543839974283991,0.7007368850222785,0.7123233372356367,0.7294034954655231,0.727523498107785,0.7507352915083904,0.7025186214398016,0.7522060110358163,0.7256290912093211,0.01886727410401977,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
